S.no.,Name of State,Name of District,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%),
1,ANDHRA PRADESH,Anantapur,142953.85,14884.94,157838.79,21623.75,59410.09,88.96,
2,ANDHRA PRADESH,Chittoor,95256.5,9597.29,104853.79,13528.83,80858.36,58.92,
3,ANDHRA PRADESH,East Godavari,41688.32,9418.15,51106.47,4226.85,193656.03,21.17,
4,ANDHRA PRADESH,Guntur,39174.72,8942.35,48117.07,14159.1,79051.91,38.57,
5,ANDHRA PRADESH,Kadapa,74888.06,4974.42,79862.47,6110.25,56568.63,68.68,
6,ANDHRA PRADESH,Krishna,47223.03,9772.8,56995.83,7402.78,98790.07,36.87,
7,ANDHRA PRADESH,Kurnool,53291.48,11008.68,64300.17,16377.9,94278.99,41.81,
8,ANDHRA PRADESH,Nellore,90301.92,6408.13,96710.05,11024.36,159531.34,37.93,
9,ANDHRA PRADESH,Prakasam,54372.39,10257.26,64629.64,17557.06,94941.54,42.79,
10,ANDHRA PRADESH,Srikakulam,40762.37,8747.99,49510.36,17007.28,63919.93,48.22,
11,ANDHRA PRADESH,Visakhapatnam,12608.08,6496.48,19104.57,7980.54,59560.86,24.59,
12,ANDHRA PRADESH,Vizianagaram,20595.54,511.42,21106.97,4922,77587.51,21.07,
13,ANDHRA PRADESH,West Godavari,71924.15,3642.89,75567.04,6028.8,113241.04,41.4,
14,ARUNACHAL PRADESH,Anjaw,NA,0,NA,NA,NA,NA,
15,ARUNACHAL PRADESH,Changlang,0,174,174,571.87,23350.98,0.73,
16,ARUNACHAL PRADESH,Dibang Valley,NA,0,NA,NA,NA,NA,
17,ARUNACHAL PRADESH,East Kameng,0,25,25,169.06,8766.2,0.28,
18,ARUNACHAL PRADESH,East Siang,0,65,65,176.16,68855.68,0.09,
19,ARUNACHAL PRADESH,Kurung Kumey,NA,0,NA,NA,NA,NA,
20,ARUNACHAL PRADESH,Lohit,0,218.48,218.48,666,78900.96,0.27,
21,ARUNACHAL PRADESH,Lower Dibang Valley,0,32,32,62.4,54973.98,0.06,
22,ARUNACHAL PRADESH,Lower Subansiri,0,18,18,105.2,2550.48,0.68,
23,ARUNACHAL PRADESH,Papum Pare,0,99.4,99.4,492.34,9239.72,1.02,
24,ARUNACHAL PRADESH,Tawang,NA,0,NA,NA,NA,NA,
25,ARUNACHAL PRADESH,Tirap,0,63,63,135.25,7360.23,0.84,
26,ARUNACHAL PRADESH,Upper Siang,NA,0,NA,NA,NA,NA,
27,ARUNACHAL PRADESH,Upper Subansiri,0,16,16,107.25,844.74,1.68,
28,ARUNACHAL PRADESH,West Kameng,0,11.72,11.72,30.26,3535.72,0.33,
29,ARUNACHAL PRADESH,West Siang,0,21.9,21.9,43.72,5715.34,0.38,
30,ASSAM,Baksa,2548.56,2558.8,5107.36,2970.09,101465.32,4.77,
31,ASSAM,Barpeta,24276,4407.4,28683.4,5158.32,109421.07,20.66,
32,ASSAM,Bongaigaon,10024.56,1996.55,12021.11,2286.71,46236.65,20.52,
33,ASSAM,Cachar,0,4628.94,4628.94,5262.84,50985.94,8.21,
34,ASSAM,Chirang,1522.08,1170.95,2693.03,1279.67,84031.49,3.1,
35,ASSAM,Darrang,15469.44,2365.16,17834.6,2703.49,36839.32,32.38,
36,ASSAM,Dhemaji,1631.28,1618.94,3250.22,1851.97,181874.23,1.75,
37,ASSAM,Dhubri,23570.4,4715.35,28285.75,5648.33,86172.85,24.51,
38,ASSAM,Dibrugarh,4890.48,3462.75,8353.23,3571.33,140417.47,5.6,
39,ASSAM,Dima Hasao,337.68,494.7,832.38,543.87,3123.19,20.75,
40,ASSAM,Goalpara,9866.64,2292.6,12159.24,2703.66,71307.97,14.49,
41,ASSAM,Golaghat,3677.52,1980.97,5658.49,2067.86,97757.82,5.46,
42,ASSAM,Hailakandi,5.04,1020.45,1025.49,1019.71,19586.39,4.94,
43,ASSAM,Jorhat,4215.12,2279.33,6494.45,2398.33,79116.95,7.57,
44,ASSAM,Kamrup,20144.88,3966.07,24110.95,3892.27,55258.35,30.21,
45,ASSAM,Kamrup Metro (Rural),1537.2,1544.84,3082.04,324.25,19209.27,13.8,
46,ASSAM,Kamrup Metro (U),0,2982.74,2982.74,1782.24,3572.7,45.34,
47,ASSAM,Karbi Anglong,342.72,1062.26,1404.98,957.57,27920.37,4.77,
48,ASSAM,Karimganj,80.64,1255.29,1335.93,1454.08,46295.22,2.79,
49,ASSAM,Kokrajhar,5913.6,622.33,6535.93,649.54,191036.05,3.31,
50,ASSAM,Lakhimpur,3044.16,2461.34,5505.5,2763.82,107715.92,4.85,
51,ASSAM,Morigaon,10777.2,2529.02,13306.22,2972.72,29897.9,30.47,
52,ASSAM,Nagaon,26891.76,7528.91,34420.67,8626.62,89105.22,27.57,
53,ASSAM,Nalbari,7153.44,1561.72,8715.16,1704.8,25045.54,25.7,
54,ASSAM,Sivasagar,2437.68,2973.66,5411.34,3064.83,49606.31,9.8,
55,ASSAM,Sonitpur,8611.68,6021.04,14632.72,5699.88,172455.05,7.79,
56,ASSAM,Tinsukia,4033.68,3556.21,7589.89,3829.26,160285.02,4.51,
57,ASSAM,Udalguri,4467.12,2279.87,6746.99,2065.36,57236.98,10.52,
58,BIHAR,Araria,11922.9,6109.18,18032.08,5183.95,73848.23,19.63,
59,BIHAR,Arwal,6339.79,1833.44,8173.23,1425.81,13022.22,38.56,
60,BIHAR,Aurangabad,20499.58,5720.93,26220.51,4426.7,72357.9,26.6,
61,BIHAR,Banka,11808.54,4386.66,16195.2,3584.41,30658.22,34.58,
62,BIHAR,Begusarai,26045.4,7604.38,33649.78,5862.49,30677.92,52.31,
63,BIHAR,Bhabhua,25513.2,4323.31,29836.51,2893.2,60064.77,33.19,
64,BIHAR,Bhagalpur,13838,5529.83,19367.83,4480.55,51123.98,27.48,
65,BIHAR,Bhojpur,40226.48,7199.1,47425.58,4871.23,37317.37,55.96,
66,BIHAR,Buxar,26289,4253.28,30542.28,2781.88,28706.97,51.55,
67,BIHAR,Darbhanga,20754.3,9312.23,30066.53,7743.63,57915.45,34.17,
68,BIHAR,East Champaran,44138.44,11855.79,55994.23,9087.7,77714.64,41.88,
